manufacturer,model,month,trends_interest,trends_source,measured_at
Alfa Romeo,105/115 Spider Series 3,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 4,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,106-Series 2600,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2025-08,0.9863,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2025-09,0.3082,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2025-10,0.6165,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2025-11,0.9863,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2025-12,1.2329,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-01,1.2329,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-02,0.9247,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-03,1.2329,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-04,0.3082,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-05,0.9863,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-06,1.2329,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,155,2026-07,1.2329,google_trends,2026-08-29T19:23:31Z
